Month_Year,Customer_ID,SF_Activity_Count,SF_Selling_Time,SF_Activity_Time_,Activity_Type,Sales_Rep,Opportunity_Stage
2024-05-01,C00003,6,3.49,3.19,Email,Rep_06,Proposal
2024-07-01,C00003,4,1.11,2.17,Email,Rep_11,Proposal
2024-09-01,C00003,1,0.38,0.59,Email,Rep_05,Nurture
2024-11-01,C00003,12,4.96,9.47,Call,Rep_22,Qualification
2024-12-01,C00003,8,6.83,6.33,Meeting,Rep_22,Nurture
2025-01-01,C00003,4,4.55,3.14,Call,Rep_14,Qualification
2025-02-01,C00003,8,5.26,4.45,Meeting,Rep_08,Proposal
2025-03-01,C00003,5,1.31,3.89,Proposal,Rep_23,Prospecting
2025-04-01,C00003,2,2.27,1.04,Call,Rep_01,Qualification
2025-05-01,C00003,8,4.65,1.85,Meeting,Rep_04,Negotiation
2025-09-01,C00003,8,2.62,1.82,Meeting,Rep_10,Proposal
2023-01-01,C00004,4,3.85,3.42,Call,Rep_14,Nurture
2023-03-01,C00004,4,4.76,3.24,Demo,Rep_09,Prospecting
2023-04-01,C00004,3,0.99,2.08,Proposal,Rep_04,Qualification
2023-05-01,C00004,9,3.65,2.54,Meeting,Rep_08,Closed Won
2023-06-01,C00004,3,2.86,0.73,Call,Rep_11,Qualification
2023-07-01,C00004,1,0.27,0.27,Call,Rep_03,Negotiation
2023-08-01,C00004,1,1.0,0.52,Call,Rep_05,Qualification
2023-09-01,C00004,4,3.55,0.82,Email,Rep_21,Negotiation
2023-11-01,C00004,4,1.29,1.8,Email,Rep_19,Qualification
2024-01-01,C00004,8,3.58,1.97,Email,Rep_03,Nurture
2024-04-01,C00004,3,3.2,1.54,Email,Rep_05,Qualification
2024-05-01,C00004,1,0.64,0.61,Meeting,Rep_16,Negotiation
2024-06-01,C00004,6,2.97,4.67,Account Review,Rep_14,Qualification
2024-07-01,C00004,12,3.36,2.32,Meeting,Rep_16,Nurture
2024-09-01,C00004,3,1.29,1.52,Email,Rep_01,Prospecting
2024-10-01,C00004,2,0.6,0.7,Call,Rep_14,Negotiation
2024-11-01,C00004,6,7.06,3.96,Email,Rep_10,Negotiation
2024-12-01,C00004,1,1.0,0.71,Proposal,Rep_17,Prospecting
2025-02-01,C00004,4,2.61,1.22,Meeting,Rep_23,Proposal
2025-03-01,C00004,4,1.09,2.54,Account Review,Rep_16,Prospecting
2025-04-01,C00004,5,5.03,2.94,Demo,Rep_12,Proposal
2025-05-01,C00004,5,2.05,4.03,Proposal,Rep_14,Nurture
2025-11-01,C00004,7,2.96,4.18,Proposal,Rep_25,Nurture
2023-01-01,C00005,1,0.96,0.37,Demo,Rep_11,Qualification
2023-02-01,C00005,9,2.56,5.07,Proposal,Rep_16,Closed Won
2023-03-01,C00005,5,2.67,2.23,Demo,Rep_16,Prospecting
2023-04-01,C00005,3,1.45,0.95,Call,Rep_04,Proposal
2023-06-01,C00005,1,0.43,0.82,Demo,Rep_12,Proposal
2023-07-01,C00005,1,0.63,0.65,Proposal,Rep_09,Qualification
2023-08-01,C00005,1,0.65,0.64,Proposal,Rep_20,
2023-09-01,C00005,4,4.37,1.87,Call,Rep_20,Prospecting
2023-12-01,C00005,3,1.72,2.12,Call,Rep_19,Nurture
2024-02-01,C00005,3,1.58,1.8,Email,Rep_07,Proposal
2024-03-01,C00005,9,3.7,2.5,Call,Rep_12,Qualification
2024-04-01,C00005,5,5.57,4.5,Account Review,Rep_06,Prospecting
2024-05-01,C00005,3,1.07,1.85,Call,Rep_04,Prospecting
2024-06-01,C00005,10,3.55,7.12,Call,Rep_13,Proposal
2024-09-01,C00005,4,1.97,2.22,Call,Rep_15,Proposal
2024-10-01,C00005,2,0.9,0.59,Proposal,Rep_18,Nurture
2024-11-01,C00005,5,2.66,0.88,Call,Rep_24,Prospecting
2025-01-01,C00005,1,1.14,0.75,Call,Rep_24,Prospecting
2025-06-01,C00005,1,1.1,0.26,Call,Rep_13,Prospecting
2025-07-01,C00005,3,2.57,1.89,Call,Rep_12,Qualification
2025-08-01,C00005,4,2.28,1.94,Proposal,Rep_17,Closed Won
2025-10-01,C00005,2,2.21,1.26,Call,Rep_22,Proposal
2025-12-01,C00005,2,2.22,1.06,Demo,Rep_16,Proposal
2023-04-01,C00006,6,6.09,3.8,Meeting,Rep_11,Qualification
2023-06-01,C00006,1,0.5,0.59,Account Review,Rep_15,Nurture
2023-08-01,C00006,4,2.24,2.35,Account Review,Rep_04,Negotiation
2023-12-01,C00006,4,1.3,1.36,Call,Rep_20,Closed Lost
2024-01-01,C00006,1,0.93,0.38,Meeting,Rep_16,Qualification
2024-05-01,C00006,5,5.41,1.94,Demo,Rep_11,Negotiation
2024-10-01,C00006,1,0.73,0.47,Call,Rep_23,Proposal
2024-12-01,C00006,4,2.6,2.8,Email,Rep_21,Closed Lost
2025-03-01,C00006,1,0.54,0.29,Call,Rep_22,Prospecting
2025-04-01,C00006,1,0.63,0.77,Call,Rep_14,
2025-06-01,C00006,4,3.89,2.89,Call,Rep_25,Qualification
2025-08-01,C00006,4,3.38,0.82,Demo,Rep_23,Prospecting
2025-11-01,C00006,3,1.92,0.58,Demo,Rep_07,Prospecting
2023-06-01,C00007,6,4.96,1.5,Call,Rep_05,Proposal
2023-08-01,C00007,3,2.92,0.93,Email,Rep_10,Prospecting
2023-09-01,C00007,3,1.97,2.51,Demo,Rep_14,Nurture
2024-03-01,C00007,7,7.3,2.73,Proposal,Rep_07,Nurture
2024-05-01,C00007,3,3.56,2.08,Proposal,Rep_19,Prospecting
2024-07-01,C00007,5,2.47,0.88,Email,Rep_04,Prospecting
2025-03-01,C00007,4,4.57,2.56,Email,Rep_23,Closed Won
2025-05-01,C00007,2,1.03,1.7,Email,Rep_13,Prospecting
2025-06-01,C00007,2,2.3,1.44,Proposal,Rep_19,Prospecting
2025-08-01,C00007,6,3.53,4.57,Email,Rep_06,Nurture
2025-10-01,C00007,2,1.76,1.32,Email,Rep_17,Proposal
2025-11-01,C00007,1,0.98,0.23,Account Review,Rep_01,Closed Won
2025-12-01,C00007,4,3.79,2.68,Call,Rep_18,Proposal
2023-01-01,C00008,2,1.45,1.69,Email,Rep_25,Prospecting
2023-04-01,C00008,1,1.05,0.83,Meeting,Rep_04,Qualification
2023-05-01,C00008,2,2.04,0.34,Demo,Rep_18,Qualification
2023-08-01,C00008,1,1.1,0.56,Email,Rep_03,Nurture
2023-09-01,C00008,2,1.33,1.07,Email,Rep_15,Proposal
2023-10-01,C00008,2,1.07,1.37,Email,Rep_12,Qualification
2023-11-01,C00008,1,0.27,0.21,Call,Rep_04,Nurture
2023-12-01,C00008,1,1.13,0.45,Meeting,Rep_05,Nurture
2024-01-01,C00008,4,3.26,3.06,Meeting,Rep_05,Closed Won
2024-02-01,C00008,2,1.87,1.3,Demo,Rep_17,Negotiation
2024-03-01,C00008,5,2.64,4.14,Email,Rep_23,Qualification
2024-04-01,C00008,4,1.85,1.96,Email,Rep_19,Qualification
2024-05-01,C00008,4,3.0,0.87,Email,Rep_11,Negotiation
2024-06-01,C00008,6,6.86,3.3,Call,Rep_17,Closed Lost
2024-07-01,C00008,4,3.62,2.48,Call,Rep_08,Negotiation
2024-08-01,C00008,5,1.62,1.16,Demo,Rep_18,Prospecting
2024-09-01,C00008,4,4.24,2.26,Call,Rep_15,Negotiation
2024-10-01,C00008,5,3.7,2.85,Demo,Rep_09,Negotiation
2024-11-01,C00008,1,0.78,0.58,Email,Rep_14,Proposal
2024-12-01,C00008,1,0.65,0.64,Proposal,Rep_04,Qualification
2025-01-01,C00008,3,3.21,0.92,Call,Rep_07,Qualification
2025-02-01,C00008,5,3.39,1.33,Call,Rep_19,Prospecting
2025-03-01,C00008,4,1.88,1.96,Proposal,Rep_12,Proposal
2025-04-01,C00008,4,2.19,2.37,Email,Rep_24,Prospecting
2025-05-01,C00008,9,7.14,4.56,Call,Rep_22,Proposal
2025-06-01,C00008,3,2.61,0.8,Meeting,Rep_25,
2025-07-01,C00008,2,2.32,1.25,Email,Rep_25,Prospecting
2025-09-01,C00008,4,4.43,2.56,Email,Rep_08,Closed Lost
2025-10-01,C00008,2,1.32,0.98,Account Review,Rep_06,Negotiation
2025-11-01,C00008,5,2.38,4.37,Call,Rep_21,Proposal
2025-12-01,C00008,1,0.32,0.69,Proposal,Rep_01,Qualification
2023-07-01,C00009,1,0.71,0.39,Account Review,Rep_19,Nurture
2023-10-01,C00009,1,0.26,0.38,Call,Rep_03,Qualification
2023-11-01,C00009,5,2.44,4.24,Call,Rep_11,
2024-04-01,C00009,1,0.46,0.65,Account Review,Rep_07,Closed Lost
2024-08-01,C00009,4,3.34,3.05,Email,Rep_23,Qualification
2024-09-01,C00009,8,6.1,7.05,Email,Rep_17,Closed Won
2024-11-01,C00009,6,2.46,2.75,Call,Rep_18,Prospecting
2025-03-01,C00009,4,1.68,1.07,Meeting,Rep_07,Prospecting
2023-01-01,C00010,6,7.15,4.75,Email,Rep_10,Prospecting
2023-02-01,C00010,1,0.34,0.26,Email,Rep_04,Qualification
2023-03-01,C00010,2,1.35,1.06,Email,Rep_14,Nurture
2023-05-01,C00010,3,0.88,2.03,Email,Rep_14,Nurture
2023-06-01,C00010,1,0.45,0.79,Call,Rep_05,Prospecting
2023-07-01,C00010,5,3.04,1.48,Email,Rep_19,Closed Lost
2023-09-01,C00010,7,4.76,4.98,Email,Rep_22,Qualification
2024-03-01,C00010,1,1.05,0.49,Email,Rep_18,Nurture
2024-05-01,C00010,12,4.88,7.55,Account Review,Rep_22,Prospecting
2024-06-01,C00010,2,0.73,0.59,Call,Rep_03,Qualification
2024-07-01,C00010,1,1.03,0.64,Meeting,Rep_21,Qualification
2024-09-01,C00010,1,0.27,0.37,Proposal,Rep_09,Closed Lost
2024-10-01,C00010,4,2.49,2.9,Call,Rep_02,Prospecting
2024-11-01,C00010,1,0.38,0.51,Call,Rep_21,Closed Won
2025-01-01,C00010,1,0.41,0.55,Meeting,Rep_01,Qualification
2025-02-01,C00010,1,0.36,0.42,Meeting,Rep_07,Qualification
2025-03-01,C00010,4,3.77,0.88,Email,Rep_13,Qualification
2025-04-01,C00010,7,4.81,2.16,Email,Rep_05,Qualification
2025-05-01,C00010,3,1.27,1.98,Call,Rep_14,Prospecting
2025-06-01,C00010,1,0.95,0.56,Meeting,Rep_22,Negotiation
2025-07-01,C00010,5,5.01,1.41,Call,Rep_01,Nurture
2025-09-01,C00010,4,1.45,3.52,Email,Rep_07,Proposal
2023-01-01,C00011,4,4.78,0.88,Meeting,Rep_19,Proposal
2023-02-01,C00011,4,2.27,3.22,Email,Rep_05,Proposal
2023-04-01,C00011,4,1.82,2.76,Proposal,Rep_07,Closed Won
2023-05-01,C00011,3,1.08,2.24,Call,Rep_08,Prospecting
2023-06-01,C00011,7,4.28,2.93,Email,Rep_17,Qualification
2023-09-01,C00011,4,3.94,3.21,Email,Rep_24,Closed Lost
2023-10-01,C00011,2,1.35,1.47,Demo,Rep_17,Prospecting
2024-01-01,C00011,3,3.3,0.78,Proposal,Rep_01,Nurture
2024-02-01,C00011,1,1.13,0.35,Call,Rep_24,Negotiation
2024-03-01,C00011,2,1.33,0.8,Meeting,Rep_17,Prospecting
2024-04-01,C00011,4,1.88,3.57,Call,Rep_02,Qualification
2024-05-01,C00011,8,8.13,3.94,Call,Rep_16,Closed Lost
2024-06-01,C00011,8,8.74,3.51,Call,Rep_06,
2024-07-01,C00011,7,8.19,4.94,Email,Rep_18,Negotiation
2024-10-01,C00011,6,2.6,5.08,Account Review,Rep_19,Closed Lost
2024-11-01,C00011,2,0.9,1.07,Call,Rep_11,Prospecting
2024-12-01,C00011,1,0.73,0.3,Call,Rep_06,Prospecting
2025-01-01,C00011,3,1.79,1.2,Demo,Rep_11,Closed Won
2025-02-01,C00011,2,1.28,0.81,Proposal,Rep_16,Negotiation
2025-03-01,C00011,1,0.66,0.16,Call,Rep_03,Qualification
2025-04-01,C00011,3,3.25,1.12,Email,Rep_09,Negotiation
2025-05-01,C00011,4,4.44,2.19,Call,Rep_14,Closed Won
2025-06-01,C00011,4,3.56,1.59,Call,Rep_17,Closed Lost
2025-07-01,C00011,12,6.91,8.74,Meeting,Rep_12,Prospecting
2025-10-01,C00011,5,2.21,4.39,Email,Rep_10,Qualification
2025-11-01,C00011,7,5.73,1.51,Email,Rep_14,Prospecting
2023-02-01,C00012,1,0.7,0.81,Call,Rep_01,Qualification
2023-05-01,C00012,3,0.87,1.97,Demo,Rep_19,Qualification
2023-06-01,C00012,6,3.79,0.91,Call,Rep_24,Proposal
2023-09-01,C00012,1,1.16,0.28,Call,Rep_11,Proposal
2023-10-01,C00012,2,1.63,1.55,Proposal,Rep_12,Closed Won
2023-11-01,C00012,3,1.16,1.01,Call,Rep_17,Closed Lost
2023-12-01,C00012,8,3.28,2.6,Proposal,Rep_15,Qualification
2024-02-01,C00012,4,3.51,1.78,Call,Rep_20,Nurture
2024-03-01,C00012,1,0.46,0.3,Proposal,Rep_20,Qualification
2024-04-01,C00012,4,2.95,1.22,Meeting,Rep_01,Qualification
2024-05-01,C00012,3,1.31,0.73,Call,Rep_09,Qualification
2024-06-01,C00012,1,0.87,0.82,Call,Rep_21,Nurture
2024-07-01,C00012,5,1.67,4.43,Proposal,Rep_21,Prospecting
2024-08-01,C00012,5,5.43,3.25,Demo,Rep_18,Nurture
2024-09-01,C00012,4,2.43,2.23,Call,Rep_24,Closed Lost
2024-10-01,C00012,1,0.79,0.25,Email,Rep_14,Proposal
2024-11-01,C00012,1,0.5,0.45,Call,Rep_14,Proposal
2024-12-01,C00012,1,0.7,0.88,Proposal,Rep_10,Qualification
2025-01-01,C00012,4,2.43,2.97,Meeting,Rep_16,Closed Lost
2025-03-01,C00012,3,1.78,1.32,Email,Rep_01,Proposal
2025-04-01,C00012,3,2.06,1.12,Demo,Rep_17,Negotiation
2025-05-01,C00012,4,1.74,0.95,Email,Rep_18,Prospecting
2025-06-01,C00012,5,3.85,2.55,Email,Rep_12,Nurture
2025-08-01,C00012,1,0.72,0.8,Email,Rep_01,Proposal
2025-09-01,C00012,6,2.47,1.94,Email,Rep_03,
2025-10-01,C00012,3,1.84,0.87,Email,Rep_09,Proposal
2025-11-01,C00012,1,0.91,0.38,Email,Rep_24,Closed Won
2025-12-01,C00012,7,3.28,1.89,Email,Rep_02,Proposal
2023-01-01,C00013,1,0.43,0.87,Call,Rep_08,Qualification
2023-02-01,C00013,4,1.6,1.18,Call,Rep_17,Nurture
2023-03-01,C00013,3,1.07,2.54,Email,Rep_12,Nurture
2023-04-01,C00013,4,1.65,1.05,Call,Rep_21,Prospecting
2023-05-01,C00013,3,2.61,1.03,Call,Rep_17,Negotiation
2023-06-01,C00013,1,0.76,0.81,Email,Rep_04,Closed Lost
2023-07-01,C00013,2,2.09,0.67,Call,Rep_20,Prospecting
2023-08-01,C00013,4,1.18,1.63,Account Review,Rep_21,Closed Won
2023-09-01,C00013,2,0.56,0.34,Meeting,Rep_21,Prospecting
2023-12-01,C00013,1,1.04,0.8,Meeting,Rep_16,Qualification
2024-02-01,C00013,3,1.89,1.94,Email,Rep_06,Proposal
2024-03-01,C00013,2,1.27,1.45,Account Review,Rep_09,Closed Won
2024-04-01,C00013,5,5.96,3.53,Demo,Rep_22,Nurture
2024-08-01,C00013,1,0.62,0.63,Meeting,Rep_05,Nurture
2024-09-01,C00013,3,1.03,1.08,Account Review,Rep_21,Proposal
2024-10-01,C00013,2,2.4,1.51,Email,Rep_12,Qualification
2024-11-01,C00013,3,0.85,1.28,Email,Rep_16,Prospecting
2024-12-01,C00013,2,1.21,0.39,Email,Rep_13,Prospecting
2025-02-01,C00013,6,2.59,2.71,Proposal,Rep_20,Prospecting
2025-03-01,C00013,1,0.59,0.8,Meeting,Rep_08,Qualification
2025-07-01,C00013,1,1.06,0.84,Call,Rep_12,Negotiation
2025-09-01,C00013,1,0.26,0.29,Email,Rep_06,Qualification
2025-11-01,C00013,1,0.27,0.19,Email,Rep_03,Closed Won
2025-12-01,C00013,2,2.11,0.59,Call,Rep_17,Proposal
2023-02-01,C00014,2,1.95,0.72,Email,Rep_19,Prospecting
2023-03-01,C00014,4,1.13,1.04,Email,Rep_08,Closed Won
2023-04-01,C00014,1,1.12,0.72,Account Review,Rep_20,Qualification
2023-05-01,C00014,2,1.66,1.33,Call,Rep_18,Closed Lost
2023-06-01,C00014,2,1.39,1.43,Meeting,Rep_19,Prospecting
2023-07-01,C00014,2,1.77,1.47,Proposal,Rep_15,Proposal
2023-08-01,C00014,3,3.27,1.91,Proposal,Rep_13,Closed Lost
2023-10-01,C00014,3,3.44,0.58,Meeting,Rep_21,Qualification
2023-11-01,C00014,7,6.54,4.39,Email,Rep_05,Prospecting
2024-01-01,C00014,3,2.15,1.09,Account Review,Rep_05,Proposal
2024-02-01,C00014,1,0.94,0.29,Call,Rep_20,Qualification
2024-03-01,C00014,2,2.21,0.81,Call,Rep_08,Qualification
2024-04-01,C00014,2,1.12,0.71,Call,Rep_06,Qualification
2024-05-01,C00014,4,3.04,2.2,Call,Rep_05,Closed Won
2024-06-01,C00014,5,5.75,3.85,Account Review,Rep_18,Qualification
2024-07-01,C00014,2,2.29,1.74,Meeting,Rep_08,Proposal
2024-08-01,C00014,4,4.17,3.24,Email,Rep_19,Qualification
2024-09-01,C00014,4,1.16,1.09,Meeting,Rep_17,Negotiation
2024-10-01,C00014,4,1.23,2.14,Call,Rep_08,Qualification
2024-11-01,C00014,4,4.13,3.06,Call,Rep_12,Nurture
2024-12-01,C00014,7,4.24,1.55,Call,Rep_13,Nurture
2025-01-01,C00014,1,0.71,0.19,Call,Rep_13,Prospecting
2025-02-01,C00014,3,2.82,2.14,Meeting,Rep_17,Closed Lost
2025-03-01,C00014,5,5.64,0.95,Email,Rep_01,Nurture
2025-04-01,C00014,1,0.78,0.85,Demo,Rep_04,Nurture
2025-05-01,C00014,2,1.55,1.24,Email,Rep_02,Qualification
2025-06-01,C00014,7,4.1,4.02,Call,Rep_17,Qualification
2025-07-01,C00014,3,3.34,0.75,Account Review,Rep_13,Qualification
2025-08-01,C00014,4,2.3,2.92,Meeting,Rep_14,Qualification
2025-09-01,C00014,7,6.68,2.05,Account Review,Rep_09,Qualification
2025-10-01,C00014,4,3.48,2.14,Call,Rep_15,Negotiation
2025-11-01,C00014,5,2.74,1.39,Email,Rep_07,Nurture
2025-12-01,C00014,1,1.15,0.37,Call,Rep_21,Prospecting
2023-01-01,C00015,1,0.87,0.59,Call,Rep_02,Nurture
2023-06-01,C00015,4,4.07,2.12,Proposal,Rep_21,Nurture
2023-08-01,C00015,5,2.48,0.81,Account Review,Rep_07,Closed Won
2023-10-01,C00015,1,0.34,0.16,Meeting,Rep_04,Closed Won
2024-12-01,C00015,4,2.26,1.89,Call,Rep_10,
2025-01-01,C00015,1,0.97,0.88,Proposal,Rep_19,Proposal
2025-04-01,C00015,1,0.48,0.58,Email,Rep_14,Closed Won
2025-07-01,C00015,5,3.89,2.14,Email,Rep_24,Closed Won
2025-12-01,C00015,1,0.9,0.24,Email,Rep_12,Nurture
2023-02-01,C00016,5,1.53,2.59,Email,Rep_15,Proposal
2023-03-01,C00016,7,2.98,3.19,Call,Rep_03,Proposal
2023-04-01,C00016,4,1.16,3.24,Email,Rep_10,Closed Won
2023-07-01,C00016,1,0.91,0.53,Proposal,Rep_09,Proposal
2023-08-01,C00016,1,1.1,0.72,Proposal,Rep_03,Qualification
2023-11-01,C00016,4,4.39,1.32,Meeting,Rep_17,Negotiation
2023-12-01,C00016,2,2.02,0.61,Email,Rep_04,Qualification
2024-01-01,C00016,1,0.73,0.8,Meeting,Rep_17,Prospecting
2024-02-01,C00016,3,0.79,1.84,Call,Rep_22,Qualification
2024-03-01,C00016,6,5.91,4.86,Call,Rep_23,Negotiation
2024-04-01,C00016,2,2.24,0.59,Call,Rep_03,Negotiation
2024-05-01,C00016,2,2.38,1.24,Demo,Rep_04,Closed Won
2024-06-01,C00016,3,2.85,1.42,Demo,Rep_06,Closed Won
2024-07-01,C00016,4,4.08,0.71,Call,Rep_07,Negotiation
2024-08-01,C00016,7,5.34,1.63,Email,Rep_05,Closed Won
2024-09-01,C00016,6,4.45,4.24,Meeting,Rep_07,Nurture
2024-10-01,C00016,10,5.66,7.95,Proposal,Rep_12,Qualification
2024-12-01,C00016,6,2.99,4.6,Meeting,Rep_22,Nurture
2025-01-01,C00016,9,4.43,4.98,Meeting,Rep_11,Negotiation
2025-02-01,C00016,6,3.24,2.78,Meeting,Rep_03,Qualification
2025-03-01,C00016,1,0.82,0.71,Meeting,Rep_02,Nurture
2025-04-01,C00016,2,0.93,1.06,Call,Rep_04,
2025-06-01,C00016,4,3.95,3.51,Call,Rep_21,Proposal
2025-08-01,C00016,4,1.5,0.69,Call,Rep_09,Prospecting
2025-11-01,C00016,5,3.98,3.97,Email,Rep_20,Negotiation
2025-12-01,C00016,5,2.9,1.65,Proposal,Rep_23,Closed Won
2023-01-01,C00017,5,3.2,2.23,Meeting,Rep_19,Prospecting
2023-03-01,C00017,3,1.35,1.06,Call,Rep_24,Prospecting
2023-04-01,C00017,2,0.56,1.62,Demo,Rep_01,Proposal
2023-06-01,C00017,3,3.48,0.67,Call,Rep_15,Qualification
2023-08-01,C00017,4,1.55,2.22,Meeting,Rep_14,Closed Lost
2023-10-01,C00017,7,4.0,1.68,Demo,Rep_07,Closed Lost
2023-11-01,C00017,2,0.82,1.14,Email,Rep_10,Proposal
2024-01-01,C00017,1,0.3,0.44,Proposal,Rep_01,Proposal
2024-03-01,C00017,3,2.21,0.92,Email,Rep_13,Nurture
2024-04-01,C00017,4,1.97,0.61,Meeting,Rep_03,Proposal
2024-05-01,C00017,4,4.54,1.65,Call,Rep_08,Qualification
2024-06-01,C00017,1,0.81,0.17,Email,Rep_05,Negotiation
2024-07-01,C00017,4,2.16,3.37,Call,Rep_15,Qualification
2024-09-01,C00017,4,4.23,2.8,Meeting,Rep_25,
2024-12-01,C00017,4,3.88,3.37,Email,Rep_03,Negotiation
2025-01-01,C00017,4,1.8,1.68,Email,Rep_08,Closed Won
2025-02-01,C00017,5,2.37,3.73,Email,Rep_17,Prospecting
2025-03-01,C00017,3,2.75,2.01,Call,Rep_07,Nurture
2025-04-01,C00017,1,0.87,0.39,Meeting,Rep_11,Prospecting
2025-05-01,C00017,2,0.8,0.49,Demo,Rep_15,Nurture
2025-09-01,C00017,1,0.48,0.41,Account Review,Rep_13,Closed Lost
2025-12-01,C00017,6,1.87,1.3,Call,Rep_22,Qualification
2023-02-01,C00018,4,4.61,2.25,Proposal,Rep_02,Prospecting
2023-10-01,C00018,7,5.0,1.56,Email,Rep_10,Prospecting
2023-11-01,C00018,5,5.22,1.69,Meeting,Rep_11,Qualification
2024-03-01,C00018,9,6.54,4.44,Email,Rep_24,Qualification
2024-04-01,C00018,4,3.41,0.73,Call,Rep_17,Prospecting
2024-10-01,C00018,3,3.57,2.69,Email,Rep_18,Qualification
2025-04-01,C00018,4,1.51,2.5,Call,Rep_09,Qualification
2025-06-01,C00018,1,1.14,0.27,Email,Rep_08,Closed Lost
2025-09-01,C00018,2,2.13,0.95,Email,Rep_19,Nurture
2025-11-01,C00018,3,1.97,1.48,Email,Rep_19,Negotiation
2023-01-01,C00019,1,0.93,0.8,Demo,Rep_19,Qualification
2023-02-01,C00019,2,0.61,1.15,Email,Rep_02,Closed Won
2023-04-01,C00019,2,1.71,1.47,Email,Rep_11,Qualification
2023-05-01,C00019,6,2.41,2.78,Meeting,Rep_24,Prospecting
2023-07-01,C00019,4,3.89,1.21,Meeting,Rep_12,Nurture
2023-08-01,C00019,3,2.98,0.81,Email,Rep_07,Prospecting
