ID_Customer,Sales,Units,order_lines,active_purchase_months,distinct_products,prd_line_coverage,prd_grp_1_coverage,prd_grp_2_coverage,prd_grp_3_coverage,customer_first_active_date,customer_last_active_date,prd_line_coverage_pct,prd_grp_1_coverage_pct,prd_grp_2_coverage_pct,prd_grp_3_coverage_pct,avg_order_line_value,avg_unit_price_realized,first_YM,last_YM,first_YM_ORD,last_YM_ORD,active_months,active_in_last_3m,active_in_last_6m,active_in_last_12m,max_consec_active_months,current_consec_active_months,avg_inactive_gap_months,max_inactive_gap_months,lifetime_months,months_since_last_purchase,activity_ratio_lifetime,is_inactive_6m,is_inactive_12m,avg_monthly_revenue,historical_ltv,purchase_freq_per_year,R_recency_m,F_frequency_m,M_sales,sales_value_segment,recency_segment,sf_first_YM,sf_last_YM,sf_first_YM_ORD,sf_last_YM_ORD,sf_active_months,sf_active_in_last_3m,sf_active_in_last_6m,sf_active_in_last_12m,sf_max_consec_active_months,sf_current_consec_active_months,sf_avg_inactive_gap_months,sf_max_inactive_gap_months,sf_total_events,sf_total_selling_time,sf_total_activity_time,sf_distinct_activity_types,sf_distinct_reps,sf_lifetime_months,sf_months_since_last_event,sf_activity_ratio_lifetime,sf_events_per_active_month,has_salesforce_activity,sales_without_recent_sf_activity,sf_activity_without_recent_sales
C00011,340627.23,1155,122,33,7,5,4,6,7,2023-01-01,2025-12-01,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.2,2792.0264754098357,294.9153506493506,2023-01,2025-12,636,671,33,1,1,1,12.0,9.0,0.09375,1.0,36,0,0.9166666666666666,0,0,9461.8675,340627.23,11.0,0,33,340627.23,Top Value,Very Recent,2023-01,2025-11,636,670,26,1,1,1,10.0,2.0,0.36,2.0,111,86.28,62.76,6,17,35,1,0.7428571428571429,4.269230769230769,1,0,0
C00012,41921.85,133,22,9,7,5,4,7,7,2023-12-01,2025-12-01,0.7142857142857143,0.6666666666666666,0.3888888888888889,0.2,1905.5386363636362,315.2018796992481,2023-12,2025-12,647,671,9,1,1,1,3.0,1.0,2.0,7.0,25,0,0.36,0,0,1676.874,41921.85,4.319999999999999,0,9,41921.85,High Value,Very Recent,2023-02,2025-12,637,671,28,1,1,1,12.0,5.0,0.25925925925925924,2.0,91,54.29,40.26,5,16,35,0,0.8,3.25,1,0,0
C00013,14677.03,54,5,3,5,4,3,4,4,2023-02-01,2023-05-01,0.5714285714285714,0.5,0.2222222222222222,0.11428571428571428,2935.406,271.79685185185184,2023-02,2023-05,637,640,3,0,0,0,2.0,2.0,0.5,1.0,4,31,0.75,1,1,3669.2575,14677.03,9.0,31,3,14677.03,Mid Value,Inactive,2023-01,2025-12,636,671,24,1,1,1,9.0,2.0,0.5217391304347826,3.0,58,35.1,28.15,6,13,36,0,0.6666666666666666,2.4166666666666665,1,0,1
C00014,38840.07,509,37,16,4,4,3,4,4,2023-11-01,2025-12-01,0.5714285714285714,0.5,0.2222222222222222,0.11428571428571428,1049.7316216216216,76.30662082514735,2023-11,2025-12,646,671,16,1,1,1,8.0,8.0,0.6666666666666666,5.0,26,0,0.6153846153846154,0,0,1493.8488461538461,38840.07,7.384615384615385,0,16,38840.07,High Value,Very Recent,2023-02,2025-12,637,671,33,1,1,1,24.0,24.0,0.0625,1.0,111,89.99,54.37,6,17,35,0,0.9428571428571428,3.3636363636363638,1,0,0
C00015,9891.24,29,19,6,8,4,5,7,8,2023-06-01,2024-11-01,0.5714285714285714,0.8333333333333334,0.3888888888888889,0.22857142857142856,520.5915789473684,341.07724137931035,2023-06,2024-11,641,658,6,0,0,0,1.0,1.0,2.4,6.0,18,13,0.3333333333333333,1,1,549.5133333333333,9891.24,4.0,13,6,9891.24,Mid Value,Inactive,2023-01,2025-12,636,671,9,1,1,1,2.0,1.0,3.375,13.0,23,16.26,9.41,5,9,36,0,0.25,2.5555555555555554,1,0,1
C00016,250084.02,1023,98,28,9,5,5,7,8,2023-01-01,2025-12-01,0.7142857142857143,0.8333333333333334,0.3888888888888889,0.22857142857142856,2551.8777551020407,244.4614076246334,2023-01,2025-12,636,671,28,1,1,1,14.0,3.0,0.2962962962962963,2.0,36,0,0.7777777777777778,0,0,6946.778333333333,250084.02,9.333333333333334,0,28,250084.02,Top Value,Very Recent,2023-02,2025-12,637,671,26,1,1,1,12.0,2.0,0.36,2.0,110,73.26,61.43,5,16,35,0,0.7428571428571429,4.230769230769231,1,0,0
C00017,75765.47,190,29,13,8,6,4,6,7,2023-01-01,2025-08-01,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.2,2612.6024137931036,398.76563157894736,2023-01,2025-08,636,667,13,0,1,1,5.0,1.0,1.5833333333333333,6.0,32,4,0.40625,0,0,2367.6709375,75765.47,4.875,4,13,75765.47,Top Value,Cooling,2023-01,2025-12,636,671,22,1,1,1,6.0,1.0,0.6666666666666666,3.0,73,46.0,33.96,6,15,36,0,0.6111111111111112,3.3181818181818183,1,0,0
C00018,118124.36,294,34,14,9,6,4,6,8,2023-02-01,2025-11-01,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.22857142857142856,3474.2458823529414,401.78353741496596,2023-02,2025-11,637,670,14,1,1,1,3.0,3.0,1.5384615384615385,6.0,34,1,0.4117647058823529,0,0,3474.2458823529414,118124.36,4.941176470588235,1,14,118124.36,Top Value,Very Recent,2023-02,2025-11,637,670,10,1,1,1,2.0,1.0,2.6666666666666665,7.0,42,35.1,18.56,4,9,34,1,0.29411764705882354,4.2,1,0,0
C00019,13024.460000000001,70,9,6,7,5,5,7,7,2023-03-01,2025-11-01,0.7142857142857143,0.8333333333333334,0.3888888888888889,0.2,1447.1622222222222,186.0637142857143,2023-03,2025-11,638,670,6,1,1,1,1.0,1.0,5.4,11.0,33,1,0.18181818181818182,0,0,394.68060606060607,13024.460000000001,2.1818181818181817,1,6,13024.460000000001,Mid Value,Very Recent,2023-01,2025-12,636,671,15,1,1,1,3.0,1.0,1.5,10.0,50,35.82,26.05,4,11,36,0,0.4166666666666667,3.3333333333333335,1,0,0
C00020,6061.29,36,8,3,7,5,4,6,7,2024-02-01,2025-05-01,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.2,757.66125,168.36916666666667,2024-02,2025-05,649,664,3,0,0,1,1.0,1.0,6.5,7.0,16,7,0.1875,1,0,378.830625,6061.29,2.25,7,3,6061.29,Low Value,Inactive,2023-06,2025-10,641,669,8,1,1,1,1.0,1.0,3.0,6.0,25,15.76,14.98,4,7,29,2,0.27586206896551724,3.125,1,0,1
C00021,23802.82,94,31,13,7,5,3,4,5,2023-01-01,2025-01-01,0.7142857142857143,0.5,0.2222222222222222,0.14285714285714285,767.8329032258065,253.2214893617021,2023-01,2025-01,636,660,13,0,0,1,4.0,1.0,1.0,5.0,25,11,0.52,1,0,952.1128,23802.82,6.239999999999999,11,13,23802.82,High Value,Inactive,2023-01,2025-11,636,670,14,1,1,1,3.0,1.0,1.6153846153846154,8.0,61,42.32,26.74,6,10,35,1,0.4,4.357142857142857,1,0,1
C00022,19814.38,104,14,7,10,4,5,7,9,2023-02-01,2025-02-01,0.5714285714285714,0.8333333333333334,0.3888888888888889,0.2571428571428571,1415.3128571428572,190.5228846153846,2023-02,2025-02,637,661,7,0,0,1,3.0,1.0,3.0,7.0,25,10,0.28,1,0,792.5752,19814.38,3.36,10,7,19814.38,High Value,Inactive,2023-01,2025-12,636,671,19,1,1,1,3.0,3.0,0.9444444444444444,3.0,47,32.54,24.87,6,13,36,0,0.5277777777777778,2.473684210526316,1,0,1
C00023,40467.21,104,31,12,7,5,2,3,4,2023-01-01,2025-05-01,0.7142857142857143,0.3333333333333333,0.16666666666666666,0.11428571428571428,1305.3938709677418,389.10778846153846,2023-01,2025-05,636,664,12,0,0,1,3.0,1.0,1.5454545454545454,4.0,29,7,0.41379310344827586,1,0,1395.4210344827586,40467.21,4.9655172413793105,7,12,40467.21,High Value,Inactive,2023-05,2025-10,640,669,16,1,1,1,4.0,1.0,0.9333333333333333,5.0,41,26.52,25.19,5,10,30,2,0.5333333333333333,2.5625,1,0,1
C00024,57758.37,320,87,24,6,5,5,5,6,2023-03-01,2025-11-01,0.7142857142857143,0.8333333333333334,0.2777777777777778,0.17142857142857143,663.8893103448277,180.49490625,2023-03,2025-11,638,670,24,1,1,1,5.0,2.0,0.391304347826087,2.0,33,1,0.7272727272727273,0,0,1750.2536363636364,57758.37,8.727272727272727,1,24,57758.37,High Value,Very Recent,2023-02,2025-11,637,670,26,1,1,1,5.0,2.0,0.32,1.0,98,71.10000000000001,43.12,6,16,34,1,0.7647058823529411,3.769230769230769,1,0,0
C00025,13796.95,53,15,9,7,3,4,6,6,2023-07-01,2025-07-01,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.17142857142857143,919.7966666666667,260.31981132075475,2023-07,2025-07,642,666,9,0,1,1,2.0,1.0,2.0,5.0,25,5,0.36,0,0,551.878,13796.95,4.319999999999999,5,9,13796.95,Mid Value,Cooling,2023-03,2025-12,638,671,12,1,1,1,1.0,1.0,2.0,4.0,31,16.740000000000002,13.559999999999999,4,10,34,0,0.35294117647058826,2.5833333333333335,1,0,0
C00026,3406.42,16,14,6,8,5,4,5,7,2023-05-01,2025-07-01,0.7142857142857143,0.6666666666666666,0.2777777777777778,0.2,243.31571428571428,212.90125,2023-05,2025-07,640,666,6,0,1,1,1.0,1.0,4.2,8.0,27,5,0.2222222222222222,0,0,126.1637037037037,3406.42,2.6666666666666665,5,6,3406.42,Low Value,Cooling,2023-01,2025-11,636,670,13,1,1,1,5.0,2.0,1.8333333333333333,11.0,37,27.8,14.73,5,11,35,1,0.37142857142857144,2.8461538461538463,1,0,0
C00027,1719.96,4,2,1,2,2,2,2,2,2023-06-01,2023-06-01,0.2857142857142857,0.3333333333333333,0.1111111111111111,0.05714285714285714,859.98,429.99,2023-06,2023-06,641,641,1,0,0,0,1.0,1.0,0.0,0.0,1,30,1.0,1,1,1719.96,1719.96,12.0,30,1,1719.96,Low Value,Inactive,2023-02,2025-10,637,669,21,1,1,1,4.0,4.0,0.6,2.0,48,33.32,25.37,5,16,33,2,0.6363636363636364,2.2857142857142856,1,0,1
C00028,8705.75,25,18,8,8,6,4,7,8,2023-06-01,2025-11-01,0.8571428571428571,0.6666666666666666,0.3888888888888889,0.22857142857142856,483.65277777777777,348.23,2023-06,2025-11,641,670,8,1,1,1,3.0,3.0,3.142857142857143,9.0,30,1,0.26666666666666666,0,0,290.19166666666666,8705.75,3.2,1,8,8705.75,Mid Value,Very Recent,2023-04,2025-12,639,671,12,1,1,1,3.0,1.0,1.9090909090909092,10.0,35,17.990000000000002,15.09,4,10,33,0,0.36363636363636365,2.9166666666666665,1,0,0
C00029,63132.46,211,15,6,5,4,4,5,5,2024-06-01,2025-11-01,0.5714285714285714,0.6666666666666666,0.2777777777777778,0.14285714285714285,4208.830666666667,299.20597156398105,2024-06,2025-11,653,670,6,1,1,1,2.0,2.0,2.4,5.0,18,1,0.3333333333333333,0,0,3507.358888888889,63132.46,4.0,1,6,63132.46,Top Value,Very Recent,2023-01,2025-10,636,669,25,1,1,1,6.0,4.0,0.375,3.0,57,41.72,26.1,5,18,34,2,0.7352941176470589,2.28,1,0,0
C00030,10294.05,53,23,10,7,5,4,7,7,2023-02-01,2025-10-01,0.7142857142857143,0.6666666666666666,0.3888888888888889,0.2,447.5673913043478,194.22735849056602,2023-02,2025-10,637,669,10,1,1,1,2.0,2.0,2.5555555555555554,7.0,33,2,0.30303030303030304,0,0,311.9409090909091,10294.05,3.6363636363636362,2,10,10294.05,Mid Value,Recent,2023-01,2025-11,636,670,11,1,1,1,1.0,1.0,2.4,5.0,35,24.82,19.34,4,9,35,1,0.3142857142857143,3.1818181818181817,1,0,0
C00031,66546.4,287,27,16,7,4,3,6,6,2023-02-01,2025-07-01,0.5714285714285714,0.5,0.3333333333333333,0.17142857142857143,2464.681481481481,231.8689895470383,2023-02,2025-07,637,666,16,0,1,1,5.0,1.0,0.9333333333333333,7.0,30,5,0.5333333333333333,0,0,2218.213333333333,66546.4,6.4,5,16,66546.4,Top Value,Cooling,2023-04,2025-12,639,671,17,1,1,1,5.0,1.0,1.0,4.0,74,49.769999999999996,35.73,5,11,33,0,0.5151515151515151,4.352941176470588,1,0,0
C00032,321745.4,1071,104,32,13,7,4,9,10,2023-02-01,2025-12-01,1.0,0.6666666666666666,0.5,0.2857142857142857,3093.7057692307694,300.41587301587305,2023-02,2025-12,637,671,32,1,1,1,14.0,4.0,0.0967741935483871,1.0,35,0,0.9142857142857143,0,0,9192.725714285714,321745.4,10.971428571428572,0,32,321745.4,Top Value,Very Recent,2023-03,2025-11,638,670,24,1,1,1,9.0,2.0,0.391304347826087,3.0,90,66.15,54.67,5,12,33,1,0.7272727272727273,3.75,1,0,0
C00033,134021.55,441,24,13,9,6,4,8,9,2023-02-01,2025-10-01,0.8571428571428571,0.6666666666666666,0.4444444444444444,0.2571428571428571,5584.23125,303.9037414965986,2023-02,2025-10,637,669,13,1,1,1,3.0,3.0,1.6666666666666667,5.0,33,2,0.3939393939393939,0,0,4061.2590909090904,134021.55,4.7272727272727275,2,13,134021.55,Top Value,Recent,2023-01,2025-12,636,671,20,1,1,1,4.0,4.0,0.8421052631578947,5.0,50,26.8,24.0,6,14,36,0,0.5555555555555556,2.5,1,0,0
C00034,82841.44,299,92,29,9,7,5,8,9,2023-01-01,2025-11-01,1.0,0.8333333333333334,0.4444444444444444,0.2571428571428571,900.4504347826087,277.0616722408027,2023-01,2025-11,636,670,29,1,1,1,6.0,3.0,0.21428571428571427,2.0,35,1,0.8285714285714286,0,0,2366.898285714286,82841.44,9.942857142857143,1,29,82841.44,Top Value,Very Recent,2023-01,2025-12,636,671,26,1,1,1,10.0,4.0,0.4,4.0,99,76.48,44.94,6,20,36,0,0.7222222222222222,3.8076923076923075,1,0,0
C00035,41751.65,148,30,14,12,6,4,7,9,2023-01-01,2025-01-01,0.8571428571428571,0.6666666666666666,0.3888888888888889,0.2571428571428571,1391.7216666666668,282.10574324324324,2023-01,2025-01,636,660,14,0,0,1,6.0,2.0,0.8461538461538461,6.0,25,11,0.56,1,0,1670.066,41751.65,6.72,11,14,41751.65,High Value,Inactive,2023-01,2025-10,636,669,14,1,1,1,2.0,1.0,1.5384615384615385,5.0,43,34.55,19.71,5,10,34,2,0.4117647058823529,3.0714285714285716,1,0,1
C00036,10045.02,95,25,14,5,3,3,3,4,2023-09-01,2025-11-01,0.42857142857142855,0.5,0.16666666666666666,0.11428571428571428,401.80080000000004,105.73705263157895,2023-09,2025-11,644,670,14,1,1,1,4.0,1.0,1.0,5.0,27,1,0.5185185185185185,0,0,372.0377777777778,10045.02,6.222222222222222,1,14,10045.02,Mid Value,Very Recent,2023-02,2025-11,637,670,20,1,1,1,7.0,1.0,0.7368421052631579,3.0,69,54.33,36.69,5,15,34,1,0.5882352941176471,3.45,1,0,0
C00037,206705.57,573,102,28,11,5,4,7,9,2023-01-01,2025-11-01,0.7142857142857143,0.6666666666666666,0.3888888888888889,0.2571428571428571,2026.5251960784315,360.74270506108206,2023-01,2025-11,636,670,28,1,1,1,11.0,1.0,0.25925925925925924,2.0,35,1,0.8,0,0,5905.873428571429,206705.57,9.6,1,28,206705.57,Top Value,Very Recent,2023-01,2025-12,636,671,22,1,1,1,6.0,1.0,0.6666666666666666,4.0,91,67.26,44.69,6,16,36,0,0.6111111111111112,4.136363636363637,1,0,0
C00038,11423.05,35,4,2,4,3,4,4,4,2023-03-01,2023-04-01,0.42857142857142855,0.6666666666666666,0.2222222222222222,0.11428571428571428,2855.7625,326.37285714285713,2023-03,2023-04,638,639,2,0,0,0,2.0,2.0,0.0,0.0,2,32,1.0,1,1,5711.525,11423.05,12.0,32,2,11423.05,Mid Value,Inactive,2023-01,2025-11,636,670,22,1,1,1,6.0,3.0,0.6190476190476191,6.0,58,52.34,24.39,6,12,35,1,0.6285714285714286,2.6363636363636362,1,0,1
C00039,55983.04,124,18,11,10,6,4,6,9,2023-02-01,2024-09-01,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.2571428571428571,3110.168888888889,451.4761290322581,2023-02,2024-09,637,656,11,0,0,0,6.0,2.0,0.9,5.0,20,15,0.55,1,1,2799.152,55983.04,6.6,15,11,55983.04,High Value,Inactive,2023-02,2025-11,637,670,21,1,1,1,5.0,2.0,0.65,3.0,65,46.43,36.269999999999996,5,15,34,1,0.6176470588235294,3.0952380952380953,1,0,1
C00040,20973.6,46,20,9,9,5,5,7,8,2023-03-01,2025-12-01,0.7142857142857143,0.8333333333333334,0.3888888888888889,0.22857142857142856,1048.6799999999998,455.94782608695647,2023-03,2025-12,638,671,9,1,1,1,3.0,1.0,3.125,9.0,34,0,0.2647058823529412,0,0,616.8705882352941,20973.6,3.176470588235294,0,9,20973.6,High Value,Very Recent,2023-08,2025-12,643,671,10,1,1,1,3.0,3.0,2.111111111111111,10.0,26,19.07,13.45,6,7,29,0,0.3448275862068966,2.6,1,0,0
C00041,3955.62,15,14,5,9,5,5,6,7,2023-03-01,2025-08-01,0.7142857142857143,0.8333333333333334,0.3333333333333333,0.2,282.5442857142857,263.70799999999997,2023-03,2025-08,638,667,5,0,1,1,2.0,1.0,6.25,11.0,30,4,0.16666666666666666,0,0,131.85399999999998,3955.62,2.0,4,5,3955.62,Low Value,Cooling,2023-03,2025-12,638,671,24,1,1,1,5.0,1.0,0.43478260869565216,3.0,63,47.74,36.02,5,18,34,0,0.7058823529411765,2.625,1,0,0
C00042,15380.21,34,17,10,7,4,4,5,5,2024-06-01,2025-12-01,0.5714285714285714,0.6666666666666666,0.2777777777777778,0.14285714285714285,904.7182352941176,452.3591176470588,2024-06,2025-12,653,671,10,1,1,1,3.0,2.0,1.0,2.0,19,0,0.5263157894736842,0,0,809.4847368421052,15380.21,6.315789473684211,0,10,15380.21,Mid Value,Very Recent,2023-01,2025-12,636,671,28,1,1,1,7.0,1.0,0.2962962962962963,2.0,86,69.25,50.67,6,17,36,0,0.7777777777777778,3.0714285714285716,1,0,0
C00043,1123875.76,2896,107,30,10,5,5,6,9,2023-02-01,2025-12-01,0.7142857142857143,0.8333333333333334,0.3333333333333333,0.2571428571428571,10503.511775700934,388.0786464088398,2023-02,2025-12,637,671,30,1,1,1,10.0,5.0,0.1724137931034483,2.0,35,0,0.8571428571428571,0,0,32110.736,1123875.76,10.285714285714286,0,30,1123875.76,Top Value,Very Recent,2023-01,2025-12,636,671,25,1,1,1,9.0,2.0,0.4583333333333333,5.0,116,92.14,64.34,6,17,36,0,0.6944444444444444,4.64,1,0,0
C00044,3320.04,13,7,4,5,3,5,5,5,2023-04-01,2024-11-01,0.42857142857142855,0.8333333333333334,0.2777777777777778,0.14285714285714285,474.2914285714286,255.3876923076923,2023-04,2024-11,639,658,4,0,0,0,1.0,1.0,5.333333333333333,8.0,20,13,0.2,1,1,166.002,3320.04,2.4,13,4,3320.04,Low Value,Inactive,2023-04,2025-11,639,670,9,1,1,1,2.0,1.0,2.875,9.0,32,21.630000000000003,17.37,5,8,32,1,0.28125,3.5555555555555554,1,0,1
C00045,857.9000000000001,3,3,1,3,2,3,3,3,2023-02-01,2023-02-01,0.2857142857142857,0.5,0.16666666666666666,0.08571428571428572,285.9666666666667,285.9666666666667,2023-02,2023-02,637,637,1,0,0,0,1.0,1.0,0.0,0.0,1,34,1.0,1,1,857.9000000000001,857.9000000000001,12.0,34,1,857.9000000000001,Low Value,Inactive,2023-01,2025-12,636,671,27,1,1,1,7.0,2.0,0.34615384615384615,2.0,42,28.09,20.83,5,17,36,0,0.75,1.5555555555555556,1,0,1
C00046,5109.67,24,11,6,7,4,5,5,6,2023-06-01,2025-05-01,0.5714285714285714,0.8333333333333334,0.2777777777777778,0.17142857142857143,464.51545454545453,212.90291666666667,2023-06,2025-05,641,664,6,0,0,1,2.0,1.0,3.6,12.0,24,7,0.25,1,0,212.90291666666667,5109.67,3.0,7,6,5109.67,Low Value,Inactive,2023-03,2025-06,638,665,10,0,1,1,3.0,1.0,2.0,7.0,35,20.5,22.310000000000002,4,7,28,6,0.35714285714285715,3.5,1,0,1
C00047,4199.87,17,15,7,6,5,4,6,6,2023-03-01,2025-08-01,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.17142857142857143,279.99133333333333,247.05117647058822,2023-03,2025-08,638,667,7,0,1,1,2.0,1.0,3.8333333333333335,10.0,30,4,0.23333333333333334,0,0,139.99566666666666,4199.87,2.8,4,7,4199.87,Low Value,Cooling,2023-03,2025-06,638,665,5,0,1,1,1.0,1.0,5.75,16.0,11,7.76,6.14,3,5,28,6,0.17857142857142858,2.2,1,0,0
C00048,4122.36,16,12,5,7,5,4,6,7,2024-10-01,2025-10-01,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.2,343.53,257.6475,2024-10,2025-10,657,669,5,1,1,1,2.0,1.0,2.0,6.0,13,2,0.38461538461538464,0,0,317.1046153846154,4122.36,4.615384615384616,2,5,4122.36,Low Value,Recent,2023-01,2025-12,636,671,28,1,1,1,9.0,9.0,0.2962962962962963,2.0,76,59.62,44.14,6,20,36,0,0.7777777777777778,2.7142857142857144,1,0,0
